"PA1" "PA2" "PA3" "PA4" "PA5" "PA6" "PA7" "PA8" "PA9" "PA10" "country" "modality" "category" "circle" "region" "phase"
"AU-TW-2014_08_5.txt" -0.631325499287832 -0.669281463444496 -0.615418564339889 -0.224357112328786 0.0417228956638913 -0.219793088243328 0.128421388638264 -0.0346667505408988 -0.46868832973758 -0.254883682391215 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_09_1.txt" -0.724181318099434 -0.661493371542633 -0.756203947798454 -0.477661425550543 0.137551852465719 -0.462742631475402 0.149698260315352 -0.2760356242767 -1.05110680469487 -0.283094599934388 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_09_2.txt" -0.791245217935503 -0.74325991728843 -0.657500026391912 0.0223312583800484 0.238299573813566 0.167894217634898 0.825245794307055 0.0439336838528397 -0.372476868115805 0.138950906192638 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_09_3.txt" -0.729094748411981 -0.662457445336615 -0.466322897744364 -0.305909930423696 0.190678820311745 -0.593303415490249 0.285329842999848 -0.107450257415431 -0.925702996431578 -0.156622173433874 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_09_4.txt" -0.776832608031532 -0.349181680617836 -0.817702170599048 -0.205391342349689 -0.346867563206102 -0.560099366802193 0.499723678073878 -0.241287989216508 -0.962526250031746 0.120510349004771 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_09_5.txt" -0.676804327853299 -0.021379905432221 -0.452948080740059 0.155609321085141 0.174685813107911 -0.37573636164401 0.468742113117527 -0.0259653817003972 -0.855557191497829 0.513448355700917 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_10_1.txt" -0.48487920195679 -0.580236420611054 -0.51886605389159 -0.133259632770008 -0.106332054987039 -0.171133531729592 0.658287713549014 0.138940096386187 -0.577720393751434 -0.0990103372427577 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_10_2.txt" -0.531678576311971 -0.942700934069685 -0.49134666357446 -0.146621036474834 -0.253626471146031 -0.0887423703819136 0.321109221128561 -0.139872738694164 -0.469977726599536 -0.414369563238131 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_10_3.txt" -0.773780024834639 -0.794108098046047 -0.65724684880811 -0.33854151835531 -0.669075232128536 -0.395585769394062 0.564916598034016 0.0223879430287189 -0.918382145994653 -0.561850688470421 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_10_4.txt" -0.709939277493218 -0.700411671201721 -0.904885969133732 -0.157926120446293 0.286139930181947 0.120790746616672 0.578906492765256 0.307801392917276 -0.304572122056099 0.120821814378808 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
